,comment,sentimen
1521,terlalu menyala sekali president ku yg satu ini,Neutral
1522,"ALLAHU AKBAR3X. ALHAMDULILLAH AAMIIN
❤
Terima kasih Bapak",Neutral
1523,Mantap presidenku Sehat selalu,Neutral
1524,Aku sejak 2004 sudah menunggumu gk pernah yg lain Alhamdulilah skrg terkabul terima kasih aku kepadamu yaa Roobb amin yaa robb,Neutral
1525,Bangsa yg trpelajar berani mengakui jasa para guru & pendidik bangsa ini.....guru adalah sbg landasan pembentukn karakter sebuah sikaf bangsa yg brmartabat....,Neutral
1526,"Sehat selalu pak presiden Prabowo , Tuhan memberkati 🙏",Neutral
1527,"Alhamdulillah , semoga diberikan kesehatan",Neutral
1528,"Semangat para pejuang pendidikan Indonesia, tanpa guru kami tak jadi apa """,Neutral
1529,cak imin ketawa😅,Neutral
1530,"Begitu Tulus niatmu bapak Presiden Prabowo buat Kesejahteraan Rakyat Indonesia, Sehat terus Bapak Prabowo & Jajarannya spy bekrja dgn bijak & arif buat seluruh Rakyat Indonesia🇮🇩😇💪",Neutral
1531,Guru guru honorer supaya di uji kelaikan lagi dan di liat apakah bisa mengajar dan mendidik murid muridnya bisa berkuatas masa kelas dua belum pada bisa baca,Neutral
1532,Untuk outsorsing pak semoga bisa ikut p3k tahapa 2 pak Prabowo 😢,Neutral
1533,❤❤,Neutral
1534,La guru yg sudah pensiun dapat kenaikan apa pak prabowo,Neutral
1535,Terimakasih bpk presiden atasperhatian bagi para guru tetepi saya mau tanya bagaimana dengan para guru yang sdh pensiun yang pengabdiannya untuk bangsa dan negaraini kurang lebih 40thn,Neutral
1536,Terimakasih my president...you are the best....,Positive
1537,"Mudah mudahan. Pensiunan Bisa di Naik kan . 100≈% . Yang telah  Mengabdi,  selama 30 th sd ada yg lebih dari 33 th. Padahal seluruh Rakyat. Indonesia. Yang pensiun. Belum pernah Demo . Atau Menuntut Pada Pemerintah . Para pensiunan.Menerima aja Klw ada peraturan. Tentang peraturan Gaji Pensiunan. Tidak pernah ada Demo / Protes. . Hanya bisa melalui Dikolom komentar lah. Memohon pada BP Presiden Prabowo. Gaji Pensiunan. Dinaikkan. 150% . Soalnya sudah tua lebih banyak . Kebutuhan. Untuk menambah giji. / Kesehatan. Buah buahan. Susu. Dan Obat obatan . ( Yg tidak ada di Apotik BPJS ) Tolong pada Para Pensiunan. Marilah kita Berdoa. Di Hari Jumat ini. Agar Pensiunan di naikkan 150% . Semoga Allah SWT.Mengabulkan pada kita semua.Amin ya Robbil alamiin",Neutral
1538,Cuma guru guru sekarang jauh beda dengan guguru dimasa suharto. Karena guru guru sekarang terutama guru SD kurang berkualitas .banyak yg kelas tiga belum mudeng atau belum bisa baca .karena gurunya nda mau belajar dirumah bagai mana cara murid muridnya  supaya cepat mengerti dari apa yg diterangkan guru  atau ajarkan .klo dinaikan gajih msh senang senang aja .tapi gajih UMR di setiap wilayah harus juga dimakan terutama kaum buruh bebas .karena kaum buruh bebas nda punya tunjangan apapun,Neutral
1539,"Ikuti jejak Jepang menjadikan guru tongkat utama, Indonesia akan maju👍",Neutral
1540,Semoga Alloh SWT memberikan  yg terbaik untuk BPK Presiden RI dan Wapres,Neutral
1541,semoga benar benar terealisasi sampai daerah2 pelosok seluruh Indonesia..sehat terus panjang umur bapak presiden kita..bapak Prabowo Subianto..aminn,Neutral
1542,Yg bertani juga dipikirkan... Obat2n mhal knp hrg jual murah... Tolong dong pk razia tengkulak2 nakal,Neutral
1543,Kami Tenaga Kependidikan juga di sejahtrrakan ya Bapak Presiden😇😇😢😢,Neutral
1544,Alhamdulilah gajih naik.smoga DANA BOS  nya lancar biar  anak murid di pinjemin buku paket nya 1 orang 1 itu pun buku paket nya sudah lepet2 maklum buku paket dr taun ke taun,Neutral
1545,"Mantap pak presiden, setuju naik kan gaji guru, juga jangan lupa pak, bidang pendidikan belum pernah tersentuh KPK",Neutral
1546,Terima kasih presidenku,Neutral
1547,Naikan juga gaji penjaga kedaulatan negara ini pak ( TNI ),Neutral
1548,"Harusnya yg di pikirkan para guru honorer yg mengapdi pada bangsa ini lebih dari 5 tahun di angkat menjadi guru negeri walau bergaji 1 jt setengah mereka pasti sangat besyukur,,drpd hanya bergaji 300 ribu tiap blnnya",Neutral
1549,🎉pak prabowo ❤❤ belum 100 hari jadi presiden banyak gebrakan pro rakyat,Neutral
1550,"Guru Sejahtera 
Pendidikan Menyala",Neutral
1551,Angkat jempoL setinggi mungkin do'a yang terbaik untuk bangsa ini sehat selalu bapak 🥹🥹 !! Yg tidak patuh siap keluar saja dari bumi Indonesia gassspolll  merdeka❤❤❤❤,Neutral
1552,Inilah model pemimpin yang sejati... Semoga sehat selalu Pak Prabowo S...,Neutral
1553,Nyesek pk mendengarnya😢😢😢,Neutral
1554,"pa presiden. kami TNI ridho dan ikhlas anggaran pendidikan lebih tinggi.. kami siap mempertahankan negri ini,,, tapi anak anak kami butuh pendidikan yang layak dan baik di negri ini, untuk masa depan mereka di kemudian hari🙏🙏🙏",Neutral
1555,"Kesimpulannya guru non ASN dan sdh serdik naik 500rb.dr 1.5 jd 2jt,,
Guru ASN dapat tambahan 1x gaji pokok melalui serdik,,
ASN serdik TDK ada kenaikan.",Neutral
1556,❤❤❤❤,Neutral
1557,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ presiden berkelas,Neutral
1558,"kami yang karyawan swasta, di tangisi istri n anak 😂😂",Neutral
1559,Kita Tunggu aja thn 2025 apkh ini omon2 doang... 😢😮😂,Neutral
1560,Sehat terus pk presiden ttp menjaga dan melindungi bangsa indonesia,Neutral
1561,"Bangsa yang baik dan beradab, kalau Gurunya bisa memberikan didikan yang baik dan tegas dan Guru mendapatkan perhatian yang baik dari Pemerintah/Pengelolaannya.",Neutral
1562,Kami yg kesehatan berapa naik gaji nya,Neutral
1563,Jadilah presiden seumur hidup pak,Neutral
1564,"Jngn2 ini KHUSUS YG BELUM SERTIFIKASI. KARENA  MEMANG BENAR YG BARU LOLIS SERTIGKSI SKAN MENINGKAT KESJHTRAANNYA SEBSAR 1 X GJ. POKOK. 
KKW ITU MAH MEMANG REGULASINYA DR DULUUUU.",Neutral
1565,"Terima kasih bapak presiden saya guru paud insya Allah tambah semangat dalam mendidik anak-anak , seperti semangatnya bapak berjuang untuk Rakyat Indonesia semoga Allah selalu meridhoi",Neutral
1566,Doa rakyatmu semoga dpt memperpanjang umur Bapak Prabowo.,Neutral
1567,"Tdk boleh ada lg dikotomi guru negeri dan swasta jika tgs tgg jwb dan kewajibannya sama. Guru2 sertifikasi swasta usia 41+ hrs otomatis mnjadi PNS tanpa tes adalah Paradigma baru Guru Indonesia agar pendidikan Indonesia terjamin dgn adanya guru2 sertifikasi yg berdedikasi tinggi, teruji pengalamannya, berprestasi, kuat mental dan emosionalnya, dan berkompeten. Yg menjadi guru PNS bukanlah yg blm berpengalaman apalgi br lulus kuliah! Di masa depan, PNS hrs menjadi penghargaan tertinggi bagi guru2 sertifikasi yang berprestasi... Aamiin",Negative
1568,Semoga pak Prabowo selalu diberi kesehatan. Semangat ya pak presidenku.,Neutral
1569,Barakallah Bapak Presiden..semoga Bapak Sehat selalu dan selalu dalam lindungan Allah amin❤❤❤,Neutral
1570,Saya sdh PNS DAN SDH SETTIFKASI. KLW NAIK 1 X GAJI POKOK ALHAMDULILLAAH. CUMA SYA TETAP BELUM PERCAYA Gj. Pokok saya hmpir 5 jt. Klw naik sgede gj. Poko itu msh belum percsya...,Neutral
1571,Allahu'akbar😢😢,Neutral
1572,Semoga Allah memberkahi niat suci para pemimpin Negara tahun 2025,Neutral
1573,Ternyata presiden harus rela di bawah wapres kekuasaannya,Neutral
1574,"Terimakasih pk Prabowo presiden kami, kami tidak salah pilih...sehat selalu dan panjang umur demi rakyat bpk..💪💪💪",Neutral
1575,Alhamduliillah Pak presiden Mantap semoga Bapak sehat selalu menetes air mata saya mendernya karna saya sudah  tiga puluh tahun  mengajar  empat tahun lagi saya pensiun,Neutral
1576,Berikut gaji dosen dinaikin juga Pak Prabowo❤,Neutral
1577,Terimakasih Bapak❤❤,Neutral
1578,Guru guru kurang literasi jadinya ga faham ucapan si wiwo,Neutral
1579,"Semangatnya pak prabowo apa yg beliu sampaikan membuat rakyat terharu menangis gembira,smg presiden kita bapak prabowo subianto dalam lindungan Allah, sehat sllu ya pak....👍",Neutral
1580,Guru honorer imfassing swasta & negri diangkat jdi PNS pak... Puluhan thn mengabdi pak kasihani dia pak.. Jngn biar menderita pak....,Neutral
1581,Jangan lupa gaji tukang panggul dan semua kuli2 juga pak.. mereka juga rakyat indonesia yg perlu juga di perhatikan,Neutral
1582,Makasih Pak Prabowo. Sehat selalu dan Lancar semua Programnya. Aaamiinnn 🤲🇮🇩,Neutral
1583,Jgn dulu Apresiasi TAKUT HOAKS. SAYA SUDAH JD GURU PULUHAN TAHUN SKRNG MENJELANG PENSIUN BELUM PERNAH ADA KANIKAN KESJHTRAAN GURU SEBESAR 1 X Gj. Pokok. Menurut pengalaman TFK LOGIKA/MADUK AKAL SEHAT. UANG DARI MANA Yaaaaa  ?,Neutral
1584,"Trimakasih Bapak President.
God bless you sir,  for our beautiful Country.
Country of Indonesia.",Positive
1585,Alhamdulillah ❤terimakasih pak prabowo❤sehat selalu pak😊,Neutral
1586,"Semangat pak presidenku...NKRI harga mati...semoga Bapak Presiden selalu di beri kesehatan,dan dilindungi...",Neutral
1587,"Trmksih,🙏",Neutral
1588,Pk presen jangan guru aja yg naik tapi buruh juga ya pk,Neutral
1589,"Memang Guru dan dosen dipandang  sebelah mata oleh pemerintah pusat selama ini kurang empati pada guru dan dosen pada hal guru tugasnya berat dari jam 07 pagi pulang rumah jam 3 sore aduh kasihan bangat dan tidk punya uang utk dikorupsi seperti Kajagung, Hakim, Polisi dan pengacara oleh karena itu mohon kepada Bapak Prabowo ditinjau ulang gaji guru seluruh Indonesia, mengingat tugas guru dan Dosen adalah mencerdaskan anak bangsa.",Neutral
1590,"Benar ni ada kenaikan kesjhtraan guru sbsr 1 x gaji pokok,, ko gd amat. Bohong ga ya. Belum pernah ada  kenaikan gj sgede Gj pokon Klw HOAK DOSA BESAR DAN TEMPAT NYA NERAKA.",Neutral
1591,"Pak prabowo.. tolong jangan terlalu cepat bikin rakyat bangga dan terharu.. kasian para anggota DPR yang makin ga kelihatan hasil kerjanya.. semenjak pak prabowo jadi presiden, hanya presiden dan menterinya yang terlihat aktif bekerja.. terima kasih pak presiden 😊",Neutral
1592,semoga sehat selalu pak presiden,Neutral
1593,Alhamdulillah..sehat terus bapak❤❤❤❤,Neutral
1594,Mantapkan ❤,Neutral
1595,"Saya honorer di SD 8 Tahun, honorer di SMP 7 Tahun, tahun 2015 saya udah tk kuat, karena  gaji hanya 300rb, sekarang saya petani, eeeee ada program pppk, nasibku buruk",Neutral
1596,kasi 2 Periode,Neutral
1597,Krennn pak prabowo,Neutral
1598,BP presiden tolong di liat yg masih honor❤❤❤❤ jempoll,Neutral
1599,Ya Allah q mnagis GK trsa RSA bhgia ken guru2 skrng alhmdulillaah trmksih pak prsiden ❤❤❤❤,Neutral
1600,janji bukan sekedar janji. DITEPATI! berkah selalu pak presiden.,Neutral
1601,"Asli bukan hanya omon-Omon. 
Tpi di buktikan kata2nya.. 
Hebat Prabowo",Neutral
1602,"Mantap , trmksh Pak 🙏🙏🙏Presiden",Neutral
1603,saya guru saya bangga punya presiden,Neutral
1604,Kalau yg lain termasuk pensiunan apa juga naik,Neutral
1605,Jempol buat BP probowo❤❤❤😂😂😂😂😂😂,Neutral
1606,Saya sala 1 barisan dr sejak pak prabowo mencLon...kiranya dl kiya satu pikiran mngkin negara kita u waktu u sekrnh ssh ada perubahan...,Neutral
1607,"Semoga bpk presiden kita, senantiasa sehat panjang umur dan dapat memenuhi kewajibannya, terimakasih bpk presiden",Neutral
1608,saatnya bapak presiden Prabowo Subianto mensejahterakan seluruh Guru di negeri ini. sehat selalu bapak presiden ku 🤲,Neutral
1609,Terima kasih bapak Prabowo yang sangat baik semoga Allah selalu melindungi dan menolongmu,Neutral
1610,Terimakasih Pak presiden Prabowo atas perhatian Bapak kepada guru guru di seluruh Indonesia 💪💪💪,Neutral
1611,Bubarkan sistem zoonah Bpk 🙏,Neutral
1612,"Puluhan Juta guru mendoakan bapak, menembus langit. Aaminnn",Neutral
1613,INDONESIA SEDANG BAIK BAIK SAJA❤Allamuhaamin YRA.,Neutral
1614,Kemajuan suatu Bangsa kuncinya ada pd GURU ....serta kesejahteraan rakyat Indonesia bebas dr koruptor dn pengkhianat Bangsa....,Neutral
1615,"Ijazakallah khoiron katsier Bapak Presiden Prabowo
Semoga sehat Selalu dalam lindungan Allah Subhan Wata'ala
aamiiin",Neutral
1616,Gak ada air matanya😂,Neutral
1617,"Terimakasih pak Presiden..limpahan rahmat Alloh selalu menyertai..sehat selalu & tetap menjadi pemimpin bangsa yg bijaksana, jujur & amanah .",Neutral
1618,Bgeeet stuju Bpk ku presiden yg baik hati dan rendah dri SMG sukses dan bgkut mju Indonesia ❤❤❤❤,Neutral
1619,🤍 GURU garda terdepan sbg pengajar generasi bangsa utk mencerdaskan bangsa menuju masa depan  indonesia yg lebih baik   🇲🇨,Neutral
1620,Guru asn non serti dpt knaikn gaji??,Neutral
1621,Mantap pak prabowo,Neutral
1622,"Permisi, numpang lewat. Anak saya seorang guru di yayasan pendidikan swasta. Sebagai orang tua, saya sangat prihatin dengan keadaannya saat ini yang jauh dari sejahtera, tidak sebanding dengan pengorbanannya selama mengajar dan mendidik siswa/siswinya. Apakah anak saya termasuk yang akan menikmati kesejahteraan yang dijanjikan pemerintahan Bapak Presiden Prabowo Subianto? Semoga kabar baik di Hari Guru Nasional 2024 ini juga menjadi kabar baik juga untuk kami sekeluarga dan semua guru di seluruh Indonesia TANPA KECUALI. Terima kasih Bapak Prabowo Subianto. Selalu sehat, tetap perduli dan mengayomi. 🙏🙏",Neutral
1623,allahu akbar allahu akbar allahu akbar,Neutral
1624,Subhanallah sungguh mulia hati mu wahai pak jendralku...sehat dn selalu dlam lindungan Allah SWT ...semga beliau ini 2 periode presiden Republik Indonesia...,Neutral
1625,"Ini kebijakan yg sdh berjalan sampai saat ini, namun tetap kami ucapkan terima kasih pak presiden",Neutral
1626,Sy sbgai guru sangat terharu mngikti pidato bpk pressiden. Sehat sllu p Prabowo 😢😢😢💚💚💚💕,Neutral
1627,Klw Pak prabowo udh di tanah air... di tunggu gebrakan barunya lagi..,Neutral
1628,"Berasa banget apresiasi nya terhadap para Guru.
Sehat selalu Pak, berkah luar dalem 😇🥰",Neutral
1629,Betul sekali bapak presiden Indonesia prabowo subianto.🙏,Neutral
1630,Barakallahufiik presiden prabowo..,Neutral
1631,"80 % guru padahal gak memilih bapak prabowo,.",Neutral
1632,Tidak sia-sia dan tidak ada kata menyesal memilih bapak. Terimakasih..sy hanya ucapkan doa dan banyak² terimakasih.😢 semoga periode dua lanjut jadi presiden lagi.. Aaaamiinnnn,Neutral
1633,❤❤❤👍👍👍👍👍👍💪💪💪❤💪💪,Neutral
1634,"Padahal kebanyakan guru waktu pilpresnyoblosnya ke ANIS.beda dengan ASN lain,milihx ke Prabowo semua.ini di daerah semu loh pak.yg nikmatin guru semuA",Neutral
1635,Jangan hanya guru pak nakes juga di naikan gajinya.,Neutral
1636,Gimana nasip karyawan honorer pak??,Neutral
1637,"Alhamdulillahirabil'alamiin.
MasyaAllah Tabarakallah..Semoga Bpk Prabowo sll diberikan kesehatan kekuatan pjg umur Suxses & Amanah dlm memimpin Negara Indonesia yg bermartabat serta sll dlm Lindungan Allah SWT.. Aamiin Aamiin Ya Allah Ya Rabbal Allahumma Aamiin 🤲🤲♥️♥️",Neutral
1638,"Saya bukan guru, saya hny rakyat kecil biasa tp mendengar pidato presiden baruku ini saya terharu dan hny bisa berkata trima kasih pak presiden prabowo untuk perhatiannya kepada para guru dan pendidikan. Semoga bapak sehat selalu",Neutral
1639,hanya bs 😢❤,Neutral
1640,"Alhamdulillah, terima kasih Pak Presiden❤",Neutral
1641,25 tahun sy mengabdi menjadi guru di instansi  Yayasan sekolah swasta hanya berbekal ijazah smk ... Gaji sy hanya 200 rbu/ bulan. semoga semua yg senasib dengan sy bapak prabowo bisa merubah dn menjadikan solusinya guru non ijazah S1 dan D4...bisa menerima amanah bapak presiden bapak prabowo subianto. Terimasih bapak  presiden❤❤❤❤❤,Neutral
1642,Yang paling tulus untuk Bangsa Ini Pak Presiden Prabowo,Neutral
1643,terimalah tangis haru kami juga bapak president sekian lama kami tunggu² moment Bapak menjadi pemimpin untuk memperbaiki nasib kami para honorer,Neutral
1644,"Bagaimana nasib tendik. Yang ada di sekolah, apa lagi sekolah swasta.?",Neutral
1645,"Trmksi pak Prabowo..smg sll Sehat n panjang Usia.
Smg yg sdh tua..diangkat PNS  Trmksi..",Neutral
1646,Terimakasih Bapak Presiden,Neutral
1647,"Alhamdulillah smga dg naik gaji guru smkin maju dan smkin bagus dalam mengajar,dan guru honorer jg mendapat kan gaji yg layak sbgaimana mestinya ,,,smg guru2 indonesia smkin sejahtera ,murid2nya smkin pandai ,dan smga pendidikan smkin bnyk yg gratis untuk rakyat yg kurang mampu..selamat maju pak presiden sehat sll ..",Neutral
1648,Masihkah pinter bicara bisa jadi ukuran bahwa seseorang itu pinter..... Apakah ilmuwan banyak bicara? Apakah dokter perlu banyak bicara? Apakah memaksa anak2 presentasi itu efektif......tidak adakah kemungkinan mereka justru tenggelam?,Neutral
1649,Trimakasih pak Presiden sehat bapak. Tolong pak guru guru honorer yg mengajar di sekolah negeri supaya segera diangkat menjadi guru P3K.trimakasih,Neutral
1650,PNS sudah jelas sejahtra di sini gaji guru tembus 8 jt sama tunjangan nak seharus x masyarakat penganguran di buatkan lapangan pekerjaan,Neutral
1651,"Terima kasih bapak prabowo.semoga bapak sehat selalu,panjang umur",Neutral
1652,Alhamdulillah terima kasih pak Prabowo.. semoga tidak hanya guru pekerja kontrak atau orchocing ikut diperhatikan,Neutral
1653,"Saya maulah pak, bpk 2 periode.",Neutral
1654,Presiden yang amanah tepat akurat adalah bapak Presiden bapak prabowo. Semoga ketulusan hati bapak prabowo menjadikan rakyat adil dan makmur aammiin.  Sehat selalu bapak presiden. Aammiin.🤲🤲🤲,Neutral
1655,"Guru Kelompok Bermain , saat ini blm bisa ikut PPG, mohon diberi perhatian supaya bisa ikut PPG",Neutral
1656,Presiden negaraku KEREEEEEN.,Neutral
1657,panjang umur pak presiden Prabowo,Neutral
1658,Semoga guru ngaji juga diperhatikan :v,Neutral
1659,Semoga Kau  panjang umur dan sehat selalu jendral idolaku...maju dan pimpin bangsa ini ke arah yg lebih baik...,Neutral
1660,"Terimakasih banyak Bpk Presiden Prabowo, mereka adalah para pahlawan kita tanpa tanda jasa, Bpk Presiden Prabowo telah berjuang utk meningkatkan kesejahteraan mereka.
Ijin urun rembug kpd Bpk Presiden Prabowo, tambahkan juga jaminan keamanan hukum & phisik  bagi para pendidik (guru & dosen).",Neutral
1661,Program gajih tunjangan profesi ini hanya utk dinas bukan utk kemenag Lp Ma'arif..jdi yg di akui negara guru sekolah negeri SD SMP SMA... fakta,Neutral
1662,Sy salah satu yg menggagumi bapak dari sd  mengalami sedih dn sedi haru  th 98 ..th24  ..❤,Neutral
1663,ingat kata kiyai alm gus dur yang paling ikhlas untuk bangsa ya prabowo.,Neutral
1664,Haturnuhun Pa Presiden semoga kebanggaan kita semua tetap bersama Pa Presiden Prabowo,Neutral
1665,TERBAIK MAUNG GARUDA💪💪✊,Neutral
1666,Sehat selalu pak Prabowo...jd ikut mewek juga😢tidak lupa terima kasih juga kepada pak Jokowi yg ikut membantu kelancaran tugas2 presiden ke 8... dengan menaikan anggaran pendidikan 2025.,Neutral
1667,Masya Allah.. bangga dengan presiden ku pak Prabowo ❤❤,Neutral
1668,"ALHAMDULILLAH saya memilih beliau..... terimakasih Bapak Presiden. tegas, jujur, BERWIBAWA",Neutral
1669,"Kami rakyat Indonesia,memohon kepada Pak Prabowo jangan hanya Guru saja yang dinaikkan gajinya,gaji guru saat ini gajinya sudah gede dan sebagian besar juga mendapat tunjangan sertifikasi yang cukup gede juga,tolong pak,Pensiunan yang juga telah mengabdi kepada negara dipikirkan juga,ingat banyak duda atau janda Pensiunan yang gajinya dibawah UMR.",Neutral
1670,Karuniakanlah kesehatan dan panjang umur buat pk Prabowo Yaa Allaah...,Neutral
1671,"Bagaimana dengan dosen honorer swasta,apakah ada kenaikan juga?",Neutral
1672,Gaji tenaga kesehatan tlg diperhatikan jg lah pak presidenku tercinta,Neutral
1673,melihat ini saya sangat senang... namun pak pres mohon maaf mau sedikit bertanya apakah kenaikan gaji ini untuk yang PNS dan tersertfikasi saja? melihat guru di INDONESIA banyak yang belum tersertifikasi dan PNS maka akan masih banyak juga yang tidak mendapatkan kenaikan gaji tersebut apalagi guru yang mungkin umurnya sudah maaf tua kan pasti sangat kecil kemungkinannya untuk mendapatkannya. solusinya bagaimana pak pres?,Neutral
1674,Guru ASN di bawah Kementerian Agama juga dinaikkan gajinya kan Pak👍🏻🙏🏻,Neutral
1675,"Segera sahkan RUU perampasan aset koruptor, miskinkan biar g ada pemeo g apa2 dihukum karena korupsi tapi keluarga bisa hidup enak 7 turunan dari hasil usaha korupsi",Neutral
1676,sejak 10 tahun lalu harusnya Pak Prabowo menjaga NKRI ini. semoga kebijakan yang dibuat membuat seluruh rakyat Indonesia menjadi makmur,Neutral
1677,"Alhamdulillah, semoga amanah buat seluruh rakyat indonesia",Neutral
1678,Alhamdulillah..,Neutral
1679,Iya pa naikin aja semua gaji biar harga tambah naik..biar orang miskin gk bisa beli beras..maling merajalela pingin makan,Neutral
1680,Ya Allah sehatkan slalu presidenku dan keluarganya panjangkanlah umurnya untuk negeri yg kita cintai,Neutral
1681,Jazakumullah khairan atas apresiasi bapak Prabowo Subianto presiden RI kepada para guru di Indonesia,Neutral
1682,"Betul betul saya merinding mendengar pidato pak presiden, sehat selalu pak Prabowo",Neutral
1683,Jika ada gajih tunjangan simpatika..cair satu juta guru bisa beli leptop mencukupi kebutuhan profesi guru.jika ada gajih tunjangan simpatika honorer swasta.jika ekonomi susah gajih 100 ribu buat bensin beli leptop komputer ga sampe Inggris..😅.. lihat lah jepang nasib guru gimana..,Neutral
1684,Sehat selalu untuk beliau semoga amanah dalam menjalankan tugas dan tanggung jawab nya Amin,Neutral
1685,"Ya. ALLOH sungguh brhati Mulya pk PRABOWO❤, smoga d beri kekutan sehat walafiat pnjang umur& slalu dlm lindungaNYA",Neutral
1686,gak adil pesiden kita kok guru aja yg naik gaji abdi negara itu kan macam2 bukan hanya guru,Neutral
1687,Bagaimana dgn pensiunan?,Neutral
1688,"guru saja pak? pekerja lain bagaimana kesejahteraannya ? nakes, tni, polri, bahkan lembaga daerah lain bagaimana pak ?? apa gantian? atau disampingkan??",Neutral
1689,Mudah 2 an tenaga kesehatan juga diperhatikan  sama bapak presiden,Neutral
1690,Guru honorer swasta di tuntut profesional TPI di miskinkan ekonomi rakyat kecil guru honorer swasta....beda. Jepang guru di fasilitasi negara di Indonesia guru honorer swasta TDK di akui negara di Plosok daerah Jawa TDK ada bantuan perhatian. Guru simpatika TDK tersentuh.,Neutral
1691,"Jangan cuma infrastruktur yg dibangun tetapi pembangunan manusia seutuhnya, ini Presiden yg hebat.",Neutral
1692,masyaAllah jiwa kesatria jiwa kepemimpinan bpk prabowo semoga ttp dalam lindungan allah SWT utk rakyat dan negara,Neutral
1693,"Satu lagi PK Prabowo  siaran televisi KLO bisa jgn ada siaran atau tontonan yg TDK pantas di tyg kn, karena bisa merusak ms DPN ank bgsa",Neutral
1694,Pegawai non gr kpan? Klau buat kebijakkan hrs adil krn sm2 mngabdi pd negara,Neutral
1695,"Judul beritanya ""Kenaikan Gaji Guru"" tp gk jelas naiknya berapa persen, yg diomongin malah tunjangan guru atau tpg.. trs yg naik itu Gajinya apa tunjangannya ?",Neutral
1696,Thanks Pak Presiden,Positive
1697,"MasyaAllah merinding aku dgr pidatonya. Baru x ini aku mau dgr pidato dr seorg presiden. Panjang umur sehat presidenku. Sungguh terharu dgn ucapan2 beliau nyampai ke hati, itu berarti apa yg kluar dr mulut tulus dr hatinya❤",Neutral
1698,Mantap jenderal,Neutral
1699,"Alhamdulillah,trimakasih Bapak Prabowo,semoga Bapak sehat selalu,di lindungi Allah,Aamiin",Neutral
1700,Program bagus presiden sayang bawahan daerah wilayah sibuk korupsi dan ga ada yang sampe tepat ke Plosok Jawa di wilayah terpencil Jawa Timur bupati gubernur DPR belum ada yg memikirkan nasib honorer swasta LP Ma'arif...LP Ma'arif anak tiri guru honorer swasta tidak terlalu di akui penjabat mayoritas alumni pondok pesantren.fakta hanya sampe guru sekolah negeri saja SD SMP yg di akui negara,Neutral
1701,sy rkyat bwah dan sy paling mngagumi pidato2 bpk prabowo diantara sekian presiden2 bangsa indonesia. pk prabowo nada bicaranya penuh keihlasan ntk negri. benar lata gusdur,Neutral
1702,Saya juga mau di gaji cuma saya sdh usia diatas 40 tak bisa kerja lg di prusahaan atau lembaga lain.ijazah tak punya pengalamab kerja tak punya kerna yatim piatu tak sekolah.mau minjam modal usaha pun tak dipercaya.mengadu ama RT diapun tak peduli.sekarang saya pengangguran tulen yg butuh perhatian.mungkin masih banyak yg lebih parah dari saya makanya saya mengeluh untuk mereka yg lebih menderita drpda saya..😁,Neutral
1703,Saya ikut nangis...,Neutral
1704,Guru memang tdk hebat. Tapi semua org hebat pernah di didik oleh seorang guru. Seharusnya memang guru diperlakukan dgn baik,Neutral
1705,Guru kalau tanpa orangtua itu hampa belaka jadi perlu juga harus diperhatikan adalah orang tua khususnya kaum ibu ibu hamil.jadi gaji ibu hamil harus lebih besar dari gaji guru.ini himbauan kami masyarakat Indonesia.,Neutral
1706,"Bismillah
Ya .. Allah .. berkahi disetiap niat baik pemimpin negeri ini
Panjangkan umurnya dan sehatkan selalu 
Barakallahu pa Prabowo ❤",Neutral
1707,"Presiden yg bukan hanya omon2,tapi benar2 mewujudkan apa yang di janjikan...",Neutral
1708,Pak presiden guru yg di pesantren juga tolong di sejahterakan,Neutral
1709,"Mau nanya dong emang sekarang kalau mau ujian harus bayar dulu ya? untuk biaya komputer dll? soalnya dulu waktu saya sekolah tidak pernah dipungut biaya 1% pun btw ini sekolah SMK dimana diJatim uang gedung untuk Sekolah Negeri dihapus/tidak bayar, setahu saya dulu sekitar tahun 2019-2020.  Mohon yang paham untuk berkomentar dan berbagi ilmu serta pengetahuannya terima kasih.",Neutral
1710,"Betul bapa presiden,harus ingatkan para guru.❤❤",Neutral
1711,PPPK kesehatan juga pak🥲,Neutral
1712,menepati janjinya😊,Neutral
1713,Ya Allah semoga bapak presidenku selalu sehat selalu❤,Neutral
1714,Presiden seumur hidup pk. Karena komitmen mensejahterakan nasyarakat,Neutral
1715,"Alhamdulillah,moga snak hambumasuk ya Allah ya Robb",Neutral
1716,Presiden terbaik❤❤❤❤,Neutral
1717,Semoga Barokah buat bapak Presiden,Neutral
1718,"Saya merinding mendengar dan melihat Pidato Bapak Presiden Prabowo Subianto semoga cita cita Bapak Terwujud untuk Rakyat, luar biasa Bapak Preaiden, kawal program program Bapak di daerah daerah jgn sampai ada korupsi di sekolah sekolah, Dan pesen kami sebagai Rakyat, mudahkan anak anak kami sekolah dengan mudah dan murah jgn sampaai program Bapak baik terhadap guru tapi juga baik juga untuk SISWA, sukur sukur SPP GERATIS serta seragam GERATIS",Neutral
